trade_date,ticker,sector,sentiment,n_headlines
2022-02-11,GILD,Healthcare,0.13396666666666665,3
2022-02-11,GS,Financials,-0.15480000000000002,2
2022-02-11,INTC,Tech,-0.04265000000000001,4
2022-02-11,KO,Consumer,-0.19776666666666665,3
2022-02-11,MMM,Industrials,0.0,1
2022-02-11,MRK,Healthcare,0.50065,2
2022-02-11,MS,Financials,-0.0837666666666667,3
2022-02-11,NEE,Utilities,0.4767,1
2022-02-11,NEM,Materials,0.5859,1
2022-02-11,NKE,Consumer,0.1512,7
2022-02-11,NUE,Materials,0.06705,2
2022-02-11,NVDA,Tech,-0.021716666666666672,12
2022-02-11,OXY,Energy,0.28459999999999996,2
2022-02-11,QCOM,Tech,0.43409999999999993,3
2022-02-11,SBUX,Consumer,0.29205,2
2022-02-11,SO,Utilities,0.0,1
2022-02-11,T,Comm,0.08689999999999999,4
2022-02-11,TMUS,Comm,0.0,1
2022-02-11,TTWO,Comm,-0.212,3
2022-02-11,UPS,Industrials,0.5859,1
2022-02-11,USB,Financials,0.0772,1
2022-02-11,V,Financials,-0.014980000000000016,5
2022-02-11,WFC,Financials,0.4576,1
2022-02-11,WMT,Consumer,0.1057625,8
2022-02-11,XOM,Energy,0.33188,10
2022-02-14,ABBV,Healthcare,0.03442857142857144,7
2022-02-14,ABT,Healthcare,0.0,1
2022-02-14,ADBE,Tech,0.0086,3
2022-02-14,AEP,Utilities,0.296,2
2022-02-14,AMD,Tech,0.1241125,16
2022-02-14,AMGN,Healthcare,0.37565,2
2022-02-14,AMT,RealEstate,0.3243,2
2022-02-14,BA,Industrials,-0.09175,8
2022-02-14,CAT,Industrials,-0.20032499999999998,4
2022-02-14,CCI,RealEstate,0.4609,2
2022-02-14,CMCSA,Comm,0.31646,5
2022-02-14,COP,Energy,0.3342571428571429,7
2022-02-14,CVX,Energy,0.1792111111111111,9
2022-02-14,D,Utilities,0.148,2
2022-02-14,DIS,Consumer,0.1905,12
2022-02-14,DUK,Utilities,0.2732,1
2022-02-14,EA,Comm,0.3818,1
2022-02-14,GE,Industrials,0.1806,2
2022-02-14,GILD,Healthcare,-0.07023333333333331,3
2022-02-14,GS,Financials,-0.15588888888888888,9
2022-02-14,INTC,Tech,0.23902307692307692,13
2022-02-14,KO,Consumer,0.286275,8
2022-02-14,MMM,Industrials,-0.0172,3
2022-02-14,MRK,Healthcare,0.013233333333333338,3
2022-02-14,MS,Financials,0.12565,4
2022-02-14,NEE,Utilities,0.6096,3
2022-02-14,NEM,Materials,0.34,1
2022-02-14,NKE,Consumer,0.15017777777777777,9
2022-02-14,NUE,Materials,0.0,1
2022-02-14,NVDA,Tech,0.01881666666666666,24
2022-02-14,OXY,Energy,0.51585,2
2022-02-14,PLD,RealEstate,0.50335,2
2022-02-14,PSA,RealEstate,0.8481,1
2022-02-14,QCOM,Tech,0.1284,3
2022-02-14,SBUX,Consumer,0.27755,6
2022-02-14,SLB,Energy,-0.148,2
2022-02-14,SO,Utilities,0.35875,2
2022-02-14,T,Comm,0.01466666666666668,3
2022-02-14,TMUS,Comm,0.5796,2
2022-02-14,TTWO,Comm,0.4513,3
2022-02-14,USB,Financials,0.3818,1
2022-02-14,V,Financials,0.17257142857142857,7
2022-02-14,WFC,Financials,-0.305575,4
2022-02-14,WMT,Consumer,0.06258571428571429,14
2022-02-14,XOM,Energy,0.23992222222222223,18
2022-02-15,ABBV,Healthcare,0.09866666666666667,3
2022-02-15,ADBE,Tech,0.2202,2
2022-02-15,AEP,Utilities,0.0772,2
2022-02-15,AMD,Tech,0.2934333333333334,15
2022-02-15,AMGN,Healthcare,0.26335,2
2022-02-15,AMT,RealEstate,0.3506,2
2022-02-15,BA,Industrials,-0.00645,8
2022-02-15,CMCSA,Comm,0.3996,3
2022-02-15,COP,Energy,0.12120000000000002,3
2022-02-15,CVX,Energy,0.35009999999999997,4
2022-02-15,D,Utilities,0.0,1
2022-02-15,DD,Materials,0.0,1
2022-02-15,DIS,Consumer,0.101675,8
2022-02-15,DUK,Utilities,0.4939,1
2022-02-15,EA,Comm,0.0,1
2022-02-15,GE,Industrials,0.5859,1
2022-02-15,GILD,Healthcare,-0.4588,1
2022-02-15,GS,Financials,0.12940000000000002,4
2022-02-15,INTC,Tech,0.16259444444444443,18
2022-02-15,KO,Consumer,0.4019,1
2022-02-15,MMM,Industrials,0.03423333333333333,3
2022-02-15,MRK,Healthcare,0.1458,4
2022-02-15,MS,Financials,0.06083333333333335,3
2022-02-15,NEE,Utilities,0.7003,1
2022-02-15,NEM,Materials,0.0772,2
2022-02-15,NKE,Consumer,0.52125,2
2022-02-15,NVDA,Tech,0.13305882352941176,17
2022-02-15,O,RealEstate,0.0772,1
2022-02-15,OXY,Energy,-0.05286,5
2022-02-15,PLD,RealEstate,0.4939,1
2022-02-15,QCOM,Tech,0.0,3
2022-02-15,SBUX,Consumer,0.0,2
2022-02-15,SLB,Energy,0.0,1
2022-02-15,SO,Utilities,0.482,2
2022-02-15,T,Comm,-0.01038000000000001,5
2022-02-15,TTWO,Comm,0.4404,1
2022-02-15,USB,Financials,0.6769000000000001,2
2022-02-15,V,Financials,0.21546000000000004,5
2022-02-15,WFC,Financials,0.0,1
2022-02-15,WMT,Consumer,0.26707777777777775,9
2022-02-15,XOM,Energy,0.09828571428571428,7
2022-02-16,ABBV,Healthcare,0.30385,4
2022-02-16,ADBE,Tech,0.0,1
2022-02-16,AEP,Utilities,0.14766666666666667,3
2022-02-16,AMD,Tech,0.21132,5
2022-02-16,AMGN,Healthcare,0.05135,2
2022-02-16,AMT,RealEstate,0.5423,1
2022-02-16,BA,Industrials,0.028471428571428568,7
2022-02-16,COP,Energy,-0.1779,1
2022-02-16,CVX,Energy,0.20456666666666665,6
2022-02-16,D,Utilities,0.0772,1
2022-02-16,DIS,Consumer,0.47728000000000004,5
2022-02-16,DOW,Materials,0.0,1
2022-02-16,DUK,Utilities,0.0772,1
2022-02-16,EA,Comm,0.5267,1
2022-02-16,GE,Industrials,-0.1147,4
2022-02-16,GILD,Healthcare,0.35736,5
2022-02-16,GS,Financials,0.1087111111111111,9
2022-02-16,INTC,Tech,0.17075000000000004,6
2022-02-16,KO,Consumer,0.43984999999999996,2
2022-02-16,MMM,Industrials,0.5574,1
2022-02-16,MRK,Healthcare,0.27340000000000003,3
2022-02-16,MS,Financials,-0.09165,6
2022-02-16,NEM,Materials,0.4019,1
2022-02-16,NKE,Consumer,-0.03356666666666669,3
2022-02-16,NUE,Materials,-0.2263,1
2022-02-16,NVDA,Tech,0.19774705882352941,17
